#vertices					13173
total_length				1357442
N50							673
L50							537
U50							1080
#dead_ends					2
#edges						17772
#loops						0
#cuts						4274
#connected_components		1
#supperbubbles				311
simple_bubbles				3955
sequence_coverage_of_chains	100.0000%
node_coverage_of_chains		100.0000%
longest_chain_seq_wise		1357442 bp
longest_chain_bubble_wise	4275 bubble(s)
